52	Qu	Quill Award	373807	Readers, retailers and librarians	Most entertaining and enlightening titles	Quill	No	Yes
53	Sh	Ruth and Sylvia Schwartz Children's Book Award	373808	Panel of young readers from an Ontario public school	Canadian children's literature	Schwartz	No	Yes
54	\N	Rondo Hatton Horror Awards	386177	Horror fans	The best in classic horror research, creativity and film preservation	Hatton	No	No
55	\N	Phoenix Award	\N	Southern Fandom Confederation	Lifetime achievement award for a science fiction professional who has done a great deal for Southern Fandom	Phoenix Award	No	No
56	\N	John Newbery Medal	406501	Association for Library Service to Children, a division of the American Library Association	The most distinguished contribution to American literature for children	Newbery	No	Yes
57	\N	Prix Jean Ray	\N		Best unpublished fantasy text by a Belgian writer	Prix Jean Ray	No	No
58	\N	Shirley Jackson Award	\N	A jury of professional writers, editors, critics, and academics, with input from a Board of Advisors	Outstanding achievement in the literature of psychological suspense, horror, and the dark fantastic	Shirley Jackson	No	No
59	\N	Carnegie Medal	423169	CILIP (Chartered Institute of Library and Information Professionals)	Outstanding book for children and young people	Carnegie	No	Yes
60	\N	Kathleen Fidler Award	423527	Committee made up of members of the Scottish Book Trust, editors from Hodder Children's Books, and several independent book experts	Outstanding novel for children ages 8 to 12	Fidler	No	Yes
61	Se	Seiun Award	\N	Attendees of the Annual Japan Science Fiction Convention	Best Science Fiction Published in Japan	Seiun	No	No
62	Ni	Nihon SF Taisho Award	\N	Science Fiction and Fantasy Writers of Japan	Best SF work	Taisho	No	No
